name,namewithlink,snippet,thumbnail,lng,lat,address
The View From Lover's Leap (1932),"<a href=""http://appalachiantrailhistory.org/items/show/807"" target=""_blank""  class=""view-item"">The View From Lover's Leap (1932)</a>","This panoramic image of Lover's Leap in Patrick County, Virginia, is compiled from three photographs taken by ATC Chairman Myron Avery during a hike...","<a href=""/items/show/807"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/c1de8aff9daf5d54f6e946a345f0585a.jpg"" alt=""Lovers Leap.jpg"" title=""Lovers Leap.jpg""></a>",-80.31675339,36.7172628,
PATC Hikers at the Pinnacles of Dan (1933),"<a href=""http://appalachiantrailhistory.org/items/show/910"" target=""_blank""  class=""view-item"">PATC Hikers at the Pinnacles of Dan (1933)</a>","In 1933, members of the Potomac Appalachian Trail Club (PATC) traveled to Meadows of Dan, Virginia, to hike the Dan River Gorge, including the...","<a href=""/items/show/910"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/aef49157ab58da181fcfc082761b201a.jpg"" alt=""Scan 2.jpeg"" title=""Scan 2.jpeg""></a>",-80.45159005,36.69330432,
Hikers in the Dan River Gorge (1936),"<a href=""http://appalachiantrailhistory.org/items/show/911"" target=""_blank""  class=""view-item"">Hikers in the Dan River Gorge (1936)</a>","John R. Barnard (right) leading a hike in the Dan River Gorge, August, 1936. Barnard was the man responsible for laying out and maintaining the...","<a href=""/items/show/911"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/026a6e79f7eb69e4f73ad05e4d085049.jpg"" alt=""Scan 4.jpeg"" title=""Scan 4.jpeg""></a>",-80.4386739,36.6740253,Pinnacles of Dan
At Lover's Leap (1930s),"<a href=""http://appalachiantrailhistory.org/items/show/912"" target=""_blank""  class=""view-item"">At Lover's Leap (1930s)</a>","Parked at Lover's Leap overlook in Patrick County, Virginia, sometime in the 1930s. Lover's Leap was a popular stop along the Appalachian Trail in...","<a href=""/items/show/912"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/168fad95d96993192b644086bfb05586.jpg"" alt=""Lovers Leap 1930s.jpg"" title=""Lovers Leap 1930s.jpg""></a>",-80.32860272,36.72087923,
Bell Spur Primitive Baptist Church (2019),"<a href=""http://appalachiantrailhistory.org/items/show/913"" target=""_blank""  class=""view-item"">Bell Spur Primitive Baptist Church (2019)</a>","The Bell Spur Primitive Baptist Church in Meadows of Dan, Virginia, was an important landmark for hikers on the Appalachian Trail in Patrick County,","<a href=""/items/show/913"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/7643e1a3ab22020e79ff7c7d26ce54a1.jpg"" alt=""Bell Spur Church.jpg"" title=""Bell Spur Church.jpg""></a>",-80.47286323,36.65727494,
Dixon's Ferry (1940s),"<a href=""http://appalachiantrailhistory.org/items/show/914"" target=""_blank""  class=""view-item"">Dixon's Ferry (1940s)</a>","From 1930-1952, the Appalachian Trail crossed the New River at Dixon's Ferry, just north of the mill town of Fries. Hikers going south would knock at...","<a href=""/items/show/914"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/291c61eefbd2fc49b26272f74df31463.jpg"" alt=""Dixons Ferry.jpg"" title=""Dixons Ferry.jpg""></a>",-80.95452134,36.7179148,
Map of Southwestern Virginia (1953),"<a href=""http://appalachiantrailhistory.org/items/show/915"" target=""_blank""  class=""view-item"">Map of Southwestern Virginia (1953)</a>","A small portion of a much larger map of the public lands in the United States in 1953, created by the U.S. Department of the Interior, that shows the...","<a href=""/items/show/915"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/2feb5cea9599e6ce8ed7d1f990464ff0.jpg"" alt=""Lost AT Map 1953.jpg"" title=""Lost AT Map 1953.jpg""></a>",-80.52166879,36.77851389,
"Galax Gang, Lover's Leap Va., October 1930","<a href=""http://appalachiantrailhistory.org/items/show/916"" target=""_blank""  class=""view-item"">Galax Gang, Lover's Leap Va., October 1930</a>","Photograph of members of the SWVA Appalachian Trail Club at Lover's Leap in Patrick County, October 1930. According to a newspaper story in the Galax...","<a href=""/items/show/916"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/dffc4b18f913f1d1103107ef34cedc7e.jpg"" alt=""Galax.jpg"" title=""Galax.jpg""></a>",-80.32742489,36.72086781,
"The view from Horse Knob, Virginia (1932)","<a href=""http://appalachiantrailhistory.org/items/show/917"" target=""_blank""  class=""view-item"">The view from Horse Knob, Virginia (1932)</a>","The view from the Appalachian Trail on Horse Knob near the North Carolina border, 1932. ","<a href=""/items/show/917"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/bf8189725573f2833251444fb8cc0c95.jpg"" alt=""From Horse Knob.jpg"" title=""From Horse Knob.jpg""></a>",-80.8194538,36.5687036,
The Cole Brothers (1932),"<a href=""http://appalachiantrailhistory.org/items/show/918"" target=""_blank""  class=""view-item"">The Cole Brothers (1932)</a>","Shirley Cole (right) and his brother Ernest (left) was the County Agent in Floyd County, Virginia and the founder of the Southern Virginia Appalachian...","<a href=""/items/show/918"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/7bb0a36e0c34b6144249d80cbf049a34.jpg"" alt=""Cole Brothers.jpg"" title=""Cole Brothers.jpg""></a>",-80.3821158,36.7366802,Cockram's Knob
"Bluemont Hotel, Galax, Virginia (1930s)","<a href=""http://appalachiantrailhistory.org/items/show/919"" target=""_blank""  class=""view-item"">Bluemont Hotel, Galax, Virginia (1930s)</a>","The Bluemont Hotel on Main Street in downtown Galax, Virginia, was a popular spot for hikers on the Appalachian Trail who passed through the city on...","<a href=""/items/show/919"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/01a4093b47f573a1ec13a439c68ed7ea.jpg"" alt=""0ed3ecc75a5038ccae5771e2a6f08404-800.jpg"" title=""0ed3ecc75a5038ccae5771e2a6f08404-800.jpg""></a>",-80.9239671,36.6612387,"Galax, Virginia"
The Road to Fancy Gap (1932),"<a href=""http://appalachiantrailhistory.org/items/show/920"" target=""_blank""  class=""view-item"">The Road to Fancy Gap (1932)</a>","The road leading to Fancy Gap, Virginia from Mt. Airy, North Carolina in 1932. The Appalachian Trail passed directly through the town of Fancy Gap on...","<a href=""/items/show/920"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/87eff734d1ec608e896bdac5c59d804a.jpg"" alt=""Fancy Gap.jpg"" title=""Fancy Gap.jpg""></a>",-80.6924152,36.66404927,
Old Fiddler's Convention (1935),"<a href=""http://appalachiantrailhistory.org/items/show/921"" target=""_blank""  class=""view-item"">Old Fiddler's Convention (1935)</a>","In 1935, members of the Galax, Virginia Moose Lodge decided to hold an ""Old Fiddler's Convention"" to raise money for the local high school. The...","<a href=""/items/show/921"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/bbe0e562d175c1e3195602c9db72ab37.jpg"" alt=""Fiddlers ad.jpg"" title=""Fiddlers ad.jpg""></a>",-80.9239671,36.6612387,"Galax, Virginia"
Graysville Store (2019),"<a href=""http://appalachiantrailhistory.org/items/show/922"" target=""_blank""  class=""view-item"">Graysville Store (2019)</a>","The Graysville Store in Copper Hill, Virginia in 2019. This store, now abandoned, was an important stop for hikers on the Appalachian Trail between...","<a href=""/items/show/922"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/970ae8bd4c0cc2c514595a6ffa54f0ec.jpg"" alt=""Graysville Store small.jpg"" title=""Graysville Store small.jpg""></a>",-80.11837251,37.06944522,
Hotel Mons (1930s),"<a href=""http://appalachiantrailhistory.org/items/show/923"" target=""_blank""  class=""view-item"">Hotel Mons (1930s)</a>","The Hotel Mons was the resort hotel located in the Peaks of Otter recreation area near Bedford, Virginia. The original route of the Appalachian Trail...","<a href=""/items/show/923"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/89d4d90e9ff9f6855f9bdbdc59ae84c9.jpg"" alt=""Hotel Mons Peaks of Otter.jpg"" title=""Hotel Mons Peaks of Otter.jpg""></a>",-79.6025292,37.4443487,Peaks of Otter
"Saltpeter Cave, Dan River Gorge (1931)","<a href=""http://appalachiantrailhistory.org/items/show/924"" target=""_blank""  class=""view-item"">Saltpeter Cave, Dan River Gorge (1931)</a>",This photograph of a hiker in the Dan River Gorge near the Pinnacles of Dan in 1931 is part of a collection of glass lantern slides held by the...,"<a href=""/items/show/924"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/d94640133e08081d6bc4f756404e38ca.jpg"" alt=""IMG_20181130_154049.jpg"" title=""IMG_20181130_154049.jpg""></a>",-80.4386739,36.6740253,Pinnacles of Dan
"View of the Washington Mills, Fries Va. (1910)","<a href=""http://appalachiantrailhistory.org/items/show/925"" target=""_blank""  class=""view-item"">View of the Washington Mills, Fries Va. (1910)</a>","The Washington Mill in Fries, Virginia, photographed by Lewis Wickes Hine in May 1910, just upstream from where the Appalachian Trail crossed the New...","<a href=""/items/show/925"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/fb2b3af1eb44406fc09ab161cbcd3008.jpg"" alt=""Washington Mill.jpg"" title=""Washington Mill.jpg""></a>",-80.98512325,36.71554443,
The Little Falls of Dan (1935),"<a href=""http://appalachiantrailhistory.org/items/show/926"" target=""_blank""  class=""view-item"">The Little Falls of Dan (1935)</a>","From the reverse: The Little Falls of Dan, one mile north of Pinnacles of Dan. The fall here of Dan River is 90 or 100 ft. The River here flowing...","<a href=""/items/show/926"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/faf186dd82b8de05cec0a6adde8d8101.jpg"" alt=""Scan 11.jpeg"" title=""Scan 11.jpeg""></a>",-80.4386739,36.6740253,Pinnacles of Dan
John Barnard (1930s),"<a href=""http://appalachiantrailhistory.org/items/show/927"" target=""_blank""  class=""view-item"">John Barnard (1930s)</a>","John Barnard with a memorial he made to the local Native Americans who lived in the Dan River gorge. According to his grandson, Barnard cast the...","<a href=""/items/show/927"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/aa6a6a03175f2ce887c1d2bed5833925.jpg"" alt=""Scan 8.jpeg"" title=""Scan 8.jpeg""></a>",-80.4135048,36.7341536,"Meadows of Dan, Virginia"
Appalachian Trail Hike Is Scheduled (1948),"<a href=""http://appalachiantrailhistory.org/items/show/928"" target=""_blank""  class=""view-item"">Appalachian Trail Hike Is Scheduled (1948)</a>","A news item in the Floyd News (Floyd, VA) about a planned hike by local Boy Scouts on the Appalachian Trail in Floyd County.","<a href=""/items/show/928"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/61c206be9115b059864dcc03f4559aea.jpg"" alt=""Floyd News 19480701.jpg"" title=""Floyd News 19480701.jpg""></a>",-80.31946778,36.91126009,
Official Inspection of Appalachian Trail in Floyd County (1932),"<a href=""http://appalachiantrailhistory.org/items/show/929"" target=""_blank""  class=""view-item"">Official Inspection of Appalachian Trail in Floyd County (1932)</a>",A description of the Myron Avery's first inspection trip of the Appalachian Trail in Floyd County in January 1932. This story from the Floyd News...,"<a href=""/items/show/929"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/b2d4c1543f4b10aada3915b5561ee40d.jpg"" alt=""Floyd News 01071932a.jpg"" title=""Floyd News 01071932a.jpg""></a>",-80.3200502,36.9112443,"Floyd, Virginia"
Byllesby Dam (1912),"<a href=""http://appalachiantrailhistory.org/items/show/930"" target=""_blank""  class=""view-item"">Byllesby Dam (1912)</a>","Hikers on the Appalachian Trail headed northbound reached the New River at Byllesby Dam, one of several hydroelectric dams built by the Appalachian...","<a href=""/items/show/930"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/008c3d3b9584a42d95baab308f6d8888.jpg"" alt=""Byllesby Dam 1912.png"" title=""Byllesby Dam 1912.png""></a>",-80.9331354,36.7851246,"Byllesby Dam, Virginia"
"Fries, Virginia (1911)","<a href=""http://appalachiantrailhistory.org/items/show/931"" target=""_blank""  class=""view-item"">Fries, Virginia (1911)</a>","A view of the town of Fries, Virginia, in March 1911. The photographer Lewis Wickes Hine visited Fries that year to document the working conditions in...","<a href=""/items/show/931"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/d5b1046385154ac933104582f925677f.jpg"" alt=""Fries view.jpg"" title=""Fries view.jpg""></a>",-80.9786923,36.7162368,"Fries, Virginia"
Thompson's Store,"<a href=""http://appalachiantrailhistory.org/items/show/932"" target=""_blank""  class=""view-item"">Thompson's Store</a>",The now abandoned Thompson's Store sits in a sharp bend in the road near the summit of Pumpkin Stem Knob (Extraordinary view; should not be missed)€¦,"<a href=""/items/show/932"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/b24e5db0f52c56ea172ef41ad5a5a8af.jpg"" alt=""IMG_20190801_170905-01.jpeg"" title=""IMG_20190801_170905-01.jpeg""></a>",-80.14683276,36.95054743,
The Old Appalachian Trail in Floyd County (2019),"<a href=""http://appalachiantrailhistory.org/items/show/933"" target=""_blank""  class=""view-item"">The Old Appalachian Trail in Floyd County (2019)</a>","Hiking along roads was a common experience for hikers on the early versions of the Appalachian Trail, with as much as 40 percent of the original route...","<a href=""/items/show/933"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/2c3283624f867eb889e14441ec881290.jpg"" alt=""Old AT Floyd County.jpg"" title=""Old AT Floyd County.jpg""></a>",-80.30486533,36.84469752,
Kelley School (2019),"<a href=""http://appalachiantrailhistory.org/items/show/934"" target=""_blank""  class=""view-item"">Kelley School (2019)</a>","The Kelley School along the Blue Ridge Parkway near Floyd, Virginia, operated as a school from 1876-1939, after which it became a country store known...","<a href=""/items/show/934"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/b178d6ae26e71363b51676d5d549d7de.jpg"" alt=""Kelley School.jpg"" title=""Kelley School.jpg""></a>",-80.1485139,36.9846111,"36.9846111,-80.1485139"
Cabin in Hemlock Dell (2019),"<a href=""http://appalachiantrailhistory.org/items/show/935"" target=""_blank""  class=""view-item"">Cabin in Hemlock Dell (2019)</a>","From 1931-1952, the Appalachian Trail passed over Poor Mountain, just south of Glenvar, Virginia. Southbound hikers descending from Catawba Mountain...","<a href=""/items/show/935"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/e975930da5ab34ca1a505c1bb7c55159.jpg"" alt=""IMG_20190801_150826.jpg"" title=""IMG_20190801_150826.jpg""></a>",-80.1337917,37.2259111,"37.2259111,-80.1337917"
Mrs. Sue Hall (1935),"<a href=""http://appalachiantrailhistory.org/items/show/937"" target=""_blank""  class=""view-item"">Mrs. Sue Hall (1935)</a>","The old route of the Appalachian Trail in Southwestern Virginia offered hikers only one overnight shelter where they could stay. Instead, the Guide...","<a href=""/items/show/937"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/f855453b1f3b526f6f167550bd4f12d1.jpg"" alt=""725_susanharrishallpassport.jpg"" title=""725_susanharrishallpassport.jpg""></a>",-80.3200502,36.9112443,"Floyd, Virginia"
Bent Mountain Falls,Bent Mountain Falls,,,-80.1189528,37.1415917,
"Floyd, VA","Floyd, VA",,,-80.32005,36.9113444,
Smart View Park,Smart View Park,,,-80.1888833,36.9243556,
Rocky Knob Park,Rocky Knob Park,,,-80.3490639,36.8029472,
Mabry Mill,Mabry Mill,,,-80.4047528,36.7500111,
Meadows of Dan,Meadows of Dan,,,-80.3952028,36.7378278,
"Fisher's Peak, NC","Fisher's Peak, NC",,,-80.8232556,36.5596361,
Jones Knob,Jones Knob,,,-81.0744,36.7627,
Comer's Rock,Comer's Rock,,,-81.2362861,36.7442417,
Skulls Gap,Skulls Gap,,,-81.621225,36.70915,
"Konnarock School (Konnarock, VA)","Konnarock School (Konnarock, VA)",,,-81.6116667,36.6716667,
Mount Rogers,Mount Rogers,,,-81.5447111,36.6599778,
"Damascus, VA","Damascus, VA",,,-81.7836528,36.6336194,
